colour	x	y	group	key	PANEL
#F8766D	-0.134878054343112	0.00182078149081537	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0048350855009373	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.0170582398162367	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.761905907996294	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.802429778540277	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.802429778540277	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.802429778540277	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.802429778540277	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.134878054343112	0.802429778540277	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.00123966048163365	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.00349029700115291	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
#F8766D	-0.127416250653516	0.0141192000475688	1	-0.134878054343112 0.603840510926845	1
